Age of air (ybp)	Temperature anomaly (deg. C)	Carbon dioxide concentration (ppm)
40875	-5.74	205.0142857
40952	-5.74	204.7
41031	-6.37	204.3857143
41112	-6.59	204.0714286
41191	-5.89	203.7571429
41268	-5.19	203.4428571
41342	-5.11	203.1285714
41415	-5.02	202.8142857
41489	-5.09	202.5
41564	-5.48	202.1857143
41638	-4.8	201.8714286
41710	-4.53	201.5571429
41782	-5.08	201.2428571
41855	-4.81	200.9285714
41927	-4.68	200.6142857
42001	-5.27	200.3
42077	-5.69	199.9857143
42152	-4.99	199.6714286
42225	-4.65	199.3571429
42298	-5.3	199.0428571
42374	-5.7	198.7285714
42451	-5.4	198.4142857
42527	-5.49	198.1
42603	-5.43	197.7857143
42679	-5.69	197.4714286
42758	-6.13	197.1571429
42837	-5.95	196.8428571
42916	-5.88	196.5285714
42994	-5.93	196.2142857
43073	-5.8	195.9
43150	-5.53	195.5857143
43226	-5.5	195.2714286
43304	-6.04	194.9571429
43385	-6.45	194.6428571
43464	-5.42	194.3285714
43540	-5.47	194.0142857
43619	-6.68	193.7
43702	-6.6	193.3857143
43785	-6.48	193.0714286
43868	-6.94	192.7571429
43952	-6.88	192.4428571
44036	-6.72	192.1285714
44120	-6.99	191.8142857
44206	-7.27	191.5
44292	-6.94	191.1857143
44377	-6.97	190.8714286
44463	-7.51	190.5571429
44551	-7.13	190.2428571
44634	-6.15	189.9285714
44715	-6.55	189.6142857
44766	-6.995	189.3
44800	-7.44	189.2666667
44887	-7.04	189.2333333
44972	-6.68	189.2
45055	-6.72	189.1666667
45139	-6.69	189.1333333
45225	-7.4	189.1
45315	-8.16	189.0666667
45407	-7.91	189.0333333
45497	-7.64	189
45587	-7.94	188.9666667
45677	-7.38	188.9333333
45762	-6.55	188.9
45846	-6.93	188.8666667
45932	-7.01	188.8333333
46018	-7.02	188.8
46104	-7.39	188.7666667
46193	-7.38	188.7333333
46281	-7.47	188.7
46370	-7.51	188.6666667
46457	-7.15	188.6333333
46543	-6.78	188.6
46628	-6.9	188.5666667
46713	-6.91	188.5333333
46797	-6.48	188.5
46881	-6.71	188.4666667
46966	-6.92	188.4333333
47024	-6.795	188.4
47050	-6.67	189.75625
47133	-6.29	191.1125
47214	-5.92	192.46875
47295	-6.17	193.825
47378	-6.73	195.18125
47462	-6.55	196.5375
47546	-6.78	197.89375
47631	-6.99	199.25
47716	-6.36	200.60625
47798	-6.28	201.9625
47881	-6.74	203.31875
47966	-6.85	204.675
48050	-6.46	206.03125
48134	-6.65	207.3875
48218	-6.49	208.74375
48229	-6.255	210.1
48300	-6.02	210.4733333
48381	-6.05	210.8466667
48461	-5.8	211.22
48541	-5.83	211.5933333
48622	-6.26	211.9666667
48704	-6.36	212.34
48787	-6.48	212.7133333
48870	-6.39	213.0866667
48953	-6.24	213.46
49034	-5.76	213.8333333
49113	-5.77	214.2066667
49193	-5.89	214.58
49272	-5.51	214.9533333
49350	-5.51	215.3266667
49414	-5.7	215.7
49430	-5.89	214.6458333
49510	-5.97	213.5916667
49591	-6.07	212.5375
49672	-5.78	211.4833333
49750	-5.3	210.4291667
49828	-5.58	209.375
49907	-5.6	208.3208333
49985	-5.18	207.2666667
50061	-5.03	206.2125
50138	-5.45	205.1583333
50217	-5.7	204.1041667
50295	-5.37	203.05
50374	-5.54	201.9958333
50452	-5.54	200.9416667
50531	-5.65	199.8875
50610	-5.57	198.8333333
50688	-5.19	197.7791667
50766	-5.72	196.725
50847	-6.07	195.6708333
50928	-5.89	194.6166667
51009	-5.74	193.5625
51086	-4.91	192.5083333
51159	-3.77	191.4541667
51174	-4.055	190.4
51230	-4.34	190.8243243
51306	-5.38	191.2486486
51384	-5.6	191.672973
51465	-6.21	192.0972973
51549	-6.6	192.5216216
51633	-6.43	192.9459459
51715	-5.47	193.3702703
51794	-5.59	193.7945946
51874	-6.02	194.2189189
51955	-5.56	194.6432432
52034	-5.56	195.0675676
52114	-5.81	195.4918919
52195	-5.84	195.9162162
52275	-5.55	196.3405405
52352	-5.03	196.7648649
